Date;Hour;Open;High;Low;Close;Volume
2023.10.24;13:15;33042.3;33044.2;33006.3;33032.2;1840
2023.10.24;13:30;33032.3;33054.5;33027.3;33039.1;1699
2023.10.24;13:45;33038.9;33072.5;33038.3;33067.4;1695
2023.10.24;14:00;33068.2;33081.8;33059.8;33066.9;2066
2023.10.24;14:15;33067;33078.9;33066.6;33075.9;1599
2023.10.24;14:30;33075.7;33083.2;33068.7;33074.9;1618
2023.10.24;14:45;33075;33089.7;33066.9;33077.6;1551
2023.10.24;15:00;33077.7;33079.6;33046.9;33051.3;2240
2023.10.24;15:15;33050.8;33087.2;33038.9;33075.2;2270
2023.10.24;15:30;33074.4;33096;33073.6;33088.2;2257
2023.10.24;15:45;33087.8;33095.8;33076.2;33095.7;1996
2023.10.24;16:00;33096.3;33103.7;33075.4;33090.9;2319
2023.10.24;16:15;33091.5;33096.7;33062.1;33082.9;2726
2023.10.24;16:30;33083.2;33205;33074.1;33123.4;6608
2023.10.24;16:45;33110.3;33184.3;33053.1;33183.9;6734
2023.10.24;17:00;33184;33190.8;33077.2;33175.6;6418
2023.10.24;17:15;33176.5;33242.5;33142.5;33241.3;5999
2023.10.24;17:30;33240.6;33241.1;33188.8;33210.3;5624
2023.10.24;17:45;33210.4;33255.4;33200.8;33218;5127
2023.10.24;18:00;33218.3;33220.4;33164.4;33182.3;5394
2023.10.24;18:15;33182.7;33196.7;33125;33128.5;5468
2023.10.24;18:30;33127.3;33144.9;33110.8;33128.5;5342
2023.10.24;18:45;33127.9;33146.7;33095.1;33136.8;5009
2023.10.24;19:00;33136.5;33154.7;33099.3;33111.3;4729
2023.10.24;19:15;33111.5;33111.7;32998.2;33015.7;4459
2023.10.24;19:30;33017.5;33037.3;33002.8;33010.6;4707
2023.10.24;19:45;33009.9;33026;32965.4;33003.6;4248
2023.10.24;20:00;33002.2;33030.1;32975.8;32997.7;4595
2023.10.24;20:15;32997.3;33045.5;32985.5;33043.8;4569
2023.10.24;20:30;33044.9;33079;33041.1;33066.6;4464
2023.10.24;20:45;33065.3;33074.5;33024.5;33047.8;4229
2023.10.24;21:00;33047.6;33085.5;33035.8;33082.1;4464
