Importers;Imported value in 2004;Imported value in 2005;Imported value in 2006;Imported value in 2007;Imported value in 2008;Imported value in 2009;Imported value in 2010;Imported value in 2011;Imported value in 2012;Imported value in 2013;Imported value in 2014;Imported value in 2015;Imported value in 2016;Imported value in 2017;Imported value in 2018;Imported value in 2019;Imported value in 2020;Imported value in 2021;Imported value in 2022;Imported value in 2023
El Salvador;250943;363143;404722;461310;491959;376859;492365;592520;601692;651174;651283;583892;570283;609156;655792;664324;577893;927186;1112582;836211
Jordan;296105;348782;374568;465880;565336;481657;552751;654744;736119;807076;871859;774975;684555;708052;734055;669004;616072;790175;935103;833612
Ethiopia;78900;143566;128809;148322;227598;195096;216444;279812;355387;398786;453324;554265;553512;634225;556766;697816;638784;675421;829006;831853
Kenya;204039;267234;312374;384119;436809;371648;492322;607676;621136;707035;763931;728810;662375;673901;769302;734449;727024;982228;971910;807852
Belarus;669573;583266;820798;1038759;1341874;995124;1323312;1498651;1704606;1866637;1834497;1304527;1338731;1551188;1691283;1717626;1569119;1594922;698934;792820
Bosnia and Herzegovina;181031;254257;284662;379391;469657;353712;391860;449384;441962;467020;519313;461279;487337;544719;613681;601157;587785;812311;860752;791802
Libya, State of;;;;121216;154306;313931;411400;;;;;417115;314761;261111;326266;460242;416719;574747;650092;783176
Côte d'Ivoire;135075;150043;190528;226299;268468;283705;275225;278613;324787;382844;420296;449856;397600;474478;462172;471960;513938;661640;777635;702376
Tanzania, United Republic of;125222;170608;186367;227170;297167;276631;413456;430818;467238;479913;597659;444089;402577;395983;488785;489582;469543;670367;887178;695818
Yemen;119364;208054;173701;232199;267563;243471;267527;249281;315169;374287;423566;207915;232057;273968;526437;511770;553289;736092;738585;667214
Ghana;135912;162735;184544;277366;254935;216390;264862;419757;442211;471932;505074;514274;396465;468530;584649;499852;;905531;787769;660516
Panama;122676;136808;256658;318286;383808;313624;430916;514178;528156;536268;601661;557972;525839;567233;550810;516548;415499;641366;696137;622908
Qatar;112492;180520;265360;366448;455022;496599;423555;462670;498526;589879;726139;753077;;704414;738869;615684;580383;698110;797795;591538
Myanmar;;;;;;;213257;296715;278768;451467;504059;521865;582556;693544;808460;816594;771523;614338;690648;574988
Uruguay;193025;255390;284343;349166;424342;340360;455984;560033;562615;599164;520780;476162;412090;434605;482688;444442;405730;573996;650280;567615
Congo, Democratic Republic of the;;;;;;;;;;;;288761;171297;179129;240029;286541;232691;426285;629110;563434
Honduras;179523;224838;226349;298507;337783;267354;317090;376458;379315;381943;360183;377436;383878;406345;430353;407181;369255;580165;;559268
Uganda;61672;83964;96438;130297;160230;135863;160129;226962;236070;234863;266973;286357;243574;289115;386504;370514;384844;479546;603961;558421
Bolivia, Plurinational State of;110175;145595;166480;199205;259151;213875;283807;356039;405380;443095;473923;460014;448615;433328;490577;495033;389454;532675;633814;549219
Sri Lanka;279170;322636;356653;407798;437179;331982;474897;595600;570667;595199;701192;730726;710110;723052;;714131;611534;911031;726180;541981
Azerbaijan;59907;67973;87556;122394;196862;128749;179465;292259;360984;278361;241634;204774;280890;318187;367430;403985;346015;387951;486604;523422
Venezuela, Bolivarian Republic of;479687;650120;665612;1113969;1350860;993265;872996;1287940;1516917;1463056;1091328;642385;347291;196935;185464;156537;207824;385167;653281;517630
Nicaragua;82502;96170;67271;128001;125002;121068;142040;176857;210319;211238;228861;239486;368319;355578;316743;315683;301995;410770;490764;498107
Paraguay;94363;113760;139718;180452;256256;202750;260443;341092;339833;370062;393366;417995;385649;424099;479909;435498;416361;557858;584897;493412
Macedonia, North;102970;124734;140549;189060;235962;195206;195403;254259;242828;279869;296219;276763;292067;319026;375425;382355;358713;464815;490800;486991
Angola;90745;134913;218349;282843;460135;445521;336292;431908;765823;591749;618332;310803;327483;404155;451999;467241;365708;409364;556716;449378
Zambia;89859;98671;97432;122663;130831;117728;156496;224618;261345;280364;265639;240933;197768;232736;320729;305223;291171;402768;544566;448707
Lebanon;288243;297458;296682;391165;471947;427456;518844;569097;604498;683731;695011;624008;596307;640772;644006;530464;308673;408722;497797;446889
Georgia;31677;56055;102754;146320;178338;129407;171271;230042;267275;253250;285896;237220;233920;262649;276094;289192;259296;342483;418341;428086
Cameroon;68901;73291;82532;115656;127655;124034;137883;147959;153310;175428;178428;180457;171584;168299;190862;202439;201367;262093;426505;423820
